年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,4,17,0,C
2023,4,18,Trace,C
2023,4,19,34.4,C
2023,4,20,7.1,C
2023,4,21,30.9,C
2023,4,22,Trace,C
2023,4,23,Trace,C
2023,4,24,2.7,C
2023,4,25,0.6,C
2023,4,26,0,C
2023,4,27,Trace,C
2023,4,28,Trace,C
2023,4,29,0.1,C
2023,4,30,0,C
2023,5,1,Trace,C
2023,5,2,0,C
2023,5,3,Trace,C
2023,5,4,0,C
2023,5,5,0,C
2023,5,6,Trace,C
2023,5,7,54.5,C
2023,5,8,13.7,C
2023,5,9,Trace,C
2023,5,10,Trace,C
2023,5,11,Trace,C
2023,5,12,5.6,C
2023,5,13,11.2,C
2023,5,14,47.6,C
2023,5,15,0,C
2023,5,16,0,C
2023,5,17,37.1,C
2023,5,18,0,C
2023,5,19,0,C
2023,5,20,Trace,C
2023,5,21,3.5,C
2023,5,22,Trace,C
2023,5,23,21,C
2023,5,24,0.8,C
2023,5,25,0,C
2023,5,26,Trace,C
2023,5,27,0,C
2023,5,28,0,C
2023,5,29,0,C
2023,5,30,0,C
2023,5,31,0,C
2023,6,1,19.1,C
2023,6,2,0,C
2023,6,3,0,C
2023,6,4,Trace,C
2023,6,5,5.7,C
2023,6,6,42.3,C
2023,6,7,3.4,C
2023,6,8,16.2,C
2023,6,9,13.8,C
2023,6,10,27.8,C
2023,6,11,0.2,C
2023,6,12,4.7,C
2023,6,13,45.9,C
2023,6,14,38.7,C
2023,6,15,22.8,C
2023,6,16,42.6,C
2023,6,17,55.9,C
2023,6,18,8.8,C
2023,6,19,0.3,C
2023,6,20,2.4,C
2023,6,21,0.1,C
2023,6,22,Trace,C
2023,6,23,6.9,C
2023,6,24,48.5,C
2023,6,25,14.3,C
2023,6,26,Trace,C
2023,6,27,0,C
2023,6,28,Trace,C
2023,6,29,Trace,C
2023,6,30,13.7,C
2023,7,1,32.9,C
2023,7,2,18.6,C
2023,7,3,4.7,C
2023,7,4,13.6,C
2023,7,5,Trace,C
2023,7,6,1.5,C
2023,7,7,Trace,C
2023,7,8,Trace,C
2023,7,9,Trace,C
2023,7,10,1.7,C
2023,7,11,Trace,C
2023,7,12,Trace,C
2023,7,13,0,C
2023,7,14,0,C
2023,7,15,16.8,C
2023,7,16,17.8,C
2023,7,17,44.9,C
2023,7,18,5.6,C
2023,7,19,13.4,C
2023,7,20,2.4,C
2023,7,21,0,C
2023,7,22,0,C
2023,7,23,2.7,C
2023,7,24,0,C
2023,7,25,0,C
2023,7,26,0,C
2023,7,27,6.6,C
2023,7,28,0,C
2023,7,29,86.3,C
2023,7,30,15.3,C
2023,7,31,8.5,C
2023,8,1,2.3,C
2023,8,2,0,C
2023,8,3,0,C
2023,8,4,1.7,C
2023,8,5,0.3,C
2023,8,6,4.7,C
2023,8,7,4,C
2023,8,8,Trace,C
2023,8,9,Trace,C
2023,8,10,2.1,C
2023,8,11,23.4,C
2023,8,12,0.6,C
2023,8,13,14.8,C
2023,8,14,7,C
2023,8,15,6.3,C
2023,8,16,0,C
2023,8,17,Trace,C
2023,8,18,21.8,C
2023,8,19,13.4,C
2023,8,20,0,C
2023,8,21,Trace,C
2023,8,22,0,C
2023,8,23,Trace,C
2023,8,24,2.1,C
2023,8,25,8,C
2023,8,26,Trace,C
2023,8,27,3.2,C
2023,8,28,1.6,C
2023,8,29,18.3,C
2023,8,30,Trace,C
2023,8,31,Trace,C
2023,9,1,73,C
2023,9,2,95,C
2023,9,3,Trace,C
2023,9,4,4.8,C
2023,9,5,Trace,C
2023,9,6,Trace,C
2023,9,7,90.9,C
2023,9,8,71,C
2023,9,9,28.9,C
2023,9,10,44.5,C
2023,9,11,3.2,C
2023,9,12,Trace,C
2023,9,13,0.1,C
2023,9,14,73.1,C
2023,9,15,10.5,C
2023,9,16,4,C
2023,9,17,0,C
2023,9,18,0,C
2023,9,19,0,C
2023,9,20,0,C
2023,9,21,0,C
2023,9,22,Trace,C
2023,9,23,0,C
2023,9,24,Trace,C
2023,9,25,Trace,C
2023,9,26,0,C
2023,9,27,0,C
2023,9,28,0,C
2023,9,29,0.9,C
2023,9,30,0,C
2023,10,1,0,C
2023,10,2,Trace,C
2023,10,3,0,C
2023,10,4,0,C
2023,10,5,0,C
2023,10,6,0.1,C
2023,10,7,9.8,C
2023,10,8,42.7,C
2023,10,9,351.9,C
2023,10,10,2.3,C
2023,10,11,0,C
2023,10,12,0,C
2023,10,13,0,C
2023,10,14,0,C
2023,10,15,0,C
2023,10,16,0,C
2023,10,17,0,C
2023,10,18,9.8,C
2023,10,19,1.1,C
2023,10,20,Trace,C
2023,10,21,0.1,C
2023,10,22,0,C
2023,10,23,0,C
2023,10,24,Trace,C
2023,10,25,0,C
2023,10,26,0,C
2023,10,27,0,C
2023,10,28,1.7,C
2023,10,29,Trace,C
2023,10,30,Trace,C
2023,10,31,0,C
2023,11,1,0,C
2023,11,2,0,C
2023,11,3,0,C
2023,11,4,0,C
2023,11,5,0,C
2023,11,6,0,C
2023,11,7,Trace,C
2023,11,8,0,C
2023,11,9,Trace,C
2023,11,10,Trace,C
2023,11,11,3.3,C
2023,11,12,1.5,C
2023,11,13,0,C
2023,11,14,0,C
2023,11,15,Trace,C
2023,11,16,0,C
2023,11,17,0,C
2023,11,18,0,C
2023,11,19,0,C
2023,11,20,0,C
2023,11,21,0,C
2023,11,22,0,C
2023,11,23,0,C
2023,11,24,0,C
2023,11,25,0,C
2023,11,26,0,C
2023,11,27,0,C
2023,11,28,0,C
2023,11,29,Trace,C
2023,11,30,Trace,C
2023,12,1,0.1,C
2023,12,2,0,C
2023,12,3,0,C
2023,12,4,0,C
2023,12,5,0,C
2023,12,6,Trace,C
2023,12,7,0,C
2023,12,8,0,C
2023,12,9,0,C
2023,12,10,0,C
2023,12,11,Trace,C
2023,12,12,0,C
2023,12,13,Trace,C
2023,12,14,Trace,C
2023,12,15,0,C
2023,12,16,0.2,C
2023,12,17,0,C
2023,12,18,0,C
2023,12,19,Trace,C
2023,12,20,0,C
2023,12,21,0,C
2023,12,22,0,C
2023,12,23,Trace,C
2023,12,24,0,C
2023,12,25,0,C
2023,12,26,0,C
2023,12,27,Trace,C
2023,12,28,Trace,C
2023,12,29,0,C
2023,12,30,0,C
2023,12,31,0,C
2024,1,1,0,C
2024,1,2,0,C
2024,1,3,0,C
2024,1,4,0,C
2024,1,5,0,C
2024,1,6,0,C
2024,1,7,0,C
2024,1,8,Trace,C
2024,1,9,Trace,C
2024,1,10,0,C
2024,1,11,Trace,C
2024,1,12,0,C
2024,1,13,0,C
2024,1,14,0,C
2024,1,15,0,C
2024,1,16,0,C
2024,1,17,Trace,C
2024,1,18,Trace,C
2024,1,19,0,C
2024,1,20,0,C
2024,1,21,Trace,C
2024,1,22,0.1,C
2024,1,23,3.7,C
2024,1,24,0,C
2024,1,25,0,C
2024,1,26,0,C
2024,1,27,0.8,C
2024,1,28,0.9,C
2024,1,29,Trace,C
2024,1,30,Trace,C
2024,1,31,Trace,C
2024,2,1,Trace,C
2024,2,2,0,C
2024,2,3,Trace,C
2024,2,4,Trace,C
2024,2,5,Trace,C
2024,2,6,Trace,C
2024,2,7,1.3,C
2024,2,8,1.3,C
2024,2,9,1.1,C
2024,2,10,0.6,C
2024,2,11,0,C
2024,2,12,0,C
2024,2,13,0,C
2024,2,14,0,C
2024,2,15,0,C
2024,2,16,0,C
2024,2,17,0,C
2024,2,18,Trace,C
2024,2,19,0,C
2024,2,20,Trace,C
2024,2,21,0,C
2024,2,22,0,C
2024,2,23,0.5,C
2024,2,24,Trace,C
2024,2,25,0,C
2024,2,26,0,C
2024,2,27,0,C
2024,2,28,0.3,C
2024,2,29,0.2,C
2024,3,1,0.5,C
2024,3,2,0.4,C
2024,3,3,Trace,C
2024,3,4,0.2,C
2024,3,5,Trace,C
2024,3,6,0.3,C
2024,3,7,0.1,C
2024,3,8,0.6,C
2024,3,9,1.8,C
2024,3,10,5.5,C
2024,3,11,14,C
2024,3,12,0,C
2024,3,13,Trace,C
2024,3,14,0,C
2024,3,15,0,C
2024,3,16,Trace,C
2024,3,17,0,C
2024,3,18,Trace,C
2024,3,19,0.8,C
2024,3,20,0,C
2024,3,21,0,C
2024,3,22,0,C
2024,3,23,0,C
2024,3,24,0,C
2024,3,25,0,C
2024,3,26,0,C
2024,3,27,0,C
2024,3,28,0,C
2024,3,29,Trace,C
2024,3,30,Trace,C
2024,3,31,Trace,C
2024,4,1,Trace,C
2024,4,2,0,C
2024,4,3,Trace,C
2024,4,4,Trace,C
2024,4,5,Trace,C
2024,4,6,1.3,C
2024,4,7,0.2,C
2024,4,8,0.9,C
2024,4,9,Trace,C
2024,4,10,0,C
2024,4,11,0,C
2024,4,12,0,C
2024,4,13,0,C
2024,4,14,0,C
2024,4,15,0,C
2024,4,16,0,C
2024,4,17,Trace,C
2024,4,18,4.3,C
2024,4,19,2.7,C
2024,4,20,10.7,C
2024,4,21,33.2,C
2024,4,22,18.4,C
2024,4,23,24,C
2024,4,24,Trace,C
2024,4,25,Trace,C
2024,4,26,33.3,C
2024,4,27,Trace,C
2024,4,28,0.4,C
2024,4,29,0.2,C
2024,4,30,25.5,C
2024,5,1,38.3,C
2024,5,2,Trace,C
2024,5,3,Trace,C
2024,5,4,84.7,C
2024,5,5,0.6,C
2024,5,6,0,C
2024,5,7,0,C
2024,5,8,Trace,C
2024,5,9,0,C
2024,5,10,Trace,C
2024,5,11,0,C
2024,5,12,5.1,C
2024,5,13,0.8,C
2024,5,14,0,C
2024,5,15,0,C
2024,5,16,0,C
2024,5,17,0,C
2024,5,18,Trace,C
2024,5,19,0.9,C
2024,5,20,9.8,C
2024,5,21,95.8,C
2024,5,22,0.1,C
2024,5,23,0.7,C
2024,5,24,22.1,C
2024,5,25,11,C
2024,5,26,Trace,C
2024,5,27,16.9,C
2024,5,28,0.3,C
2024,5,29,0,C
2024,5,30,2.3,C
2024,5,31,9.1,C
2024,6,1,47.1,C
2024,6,2,1.2,C
2024,6,3,42.8,C
2024,6,4,0.1,C
2024,6,5,Trace,C
2024,6,6,0.5,C
2024,6,7,5.4,C
2024,6,8,1,C
2024,6,9,34.9,C
2024,6,10,0.7,C
2024,6,11,Trace,C
2024,6,12,5.2,C
2024,6,13,0,C
2024,6,14,2.8,C
2024,6,15,45.3,C
2024,6,16,Trace,C
2024,6,17,0.1,C
2024,6,18,2.2,C
2024,6,19,0.8,C
2024,6,20,0.8,C
2024,6,21,Trace,C
2024,6,22,Trace,C
2024,6,23,3.6,C
2024,6,24,5.1,C
2024,6,25,6.2,C
2024,6,26,Trace,C
2024,6,27,0,C
2024,6,28,3.4,C
2024,6,29,9.7,C
2024,6,30,1.9,C
2024,7,1,Trace,C
2024,7,2,3.8,C
2024,7,3,0,C
2024,7,4,2.7,C
2024,7,5,0,C
2024,7,6,Trace,C
2024,7,7,1,C
2024,7,8,Trace,C
2024,7,9,0,C
2024,7,10,Trace,C
2024,7,11,8.8,C
2024,7,12,1.7,C
2024,7,13,3.7,C
2024,7,14,6.2,C
2024,7,15,7.6,C
2024,7,16,3.4,C
2024,7,17,12,C
2024,7,18,17.3,C
2024,7,19,9.1,C
2024,7,20,2.8,C
2024,7,21,24.4,C
2024,7,22,Trace,C
2024,7,23,0,C
2024,7,24,0,C
2024,7,25,0,C
2024,7,26,0.9,C
2024,7,27,1.3,C
2024,7,28,33.2,C
2024,7,29,37.6,C
2024,7,30,13.3,C
2024,7,31,49,C
2024,8,1,Trace,C
2024,8,2,Trace,C
2024,8,3,0,C
2024,8,4,0,C
2024,8,5,0,C
2024,8,6,Trace,C
2024,8,7,0,C
2024,8,8,0,C
2024,8,9,0,C
2024,8,10,0,C
2024,8,11,0,C
2024,8,12,3.8,C
2024,8,13,0.8,C
2024,8,14,Trace,C
2024,8,15,16.6,C
2024,8,16,Trace,C
2024,8,17,39.2,C
2024,8,18,34.3,C
2024,8,19,12.4,C
2024,8,20,13.9,C
2024,8,21,6.3,C
2024,8,22,0,C
2024,8,23,0,C
2024,8,24,0,C
2024,8,25,0,C
2024,8,26,0,C
2024,8,27,0,C
2024,8,28,Trace,C
2024,8,29,0.8,C
2024,8,30,Trace,C
2024,8,31,0.3,C
2024,9,1,Trace,C
2024,9,2,0,C
2024,9,3,18.8,C
2024,9,4,Trace,C
2024,9,5,18.9,C
2024,9,6,60,C
2024,9,7,11.5,C
2024,9,8,3.8,C
2024,9,9,Trace,C
2024,9,10,0,C
2024,9,11,Trace,C
2024,9,12,0,C
2024,9,13,0.1,C
2024,9,14,1.1,C
2024,9,15,Trace,C
2024,9,16,Trace,C
2024,9,17,Trace,C
2024,9,18,3.4,C
2024,9,19,0,C
2024,9,20,1.3,C
2024,9,21,40.6,C
2024,9,22,15.4,C
2024,9,23,42.9,C
2024,9,24,62.1,C
2024,9,25,Trace,C
2024,9,26,0.4,C
2024,9,27,0,C
2024,9,28,Trace,C
2024,9,29,5.2,C
2024,9,30,0,C
2024,10,1,Trace,C
2024,10,2,0,C
2024,10,3,0,C
2024,10,4,0,C
2024,10,5,0,C
2024,10,6,0,C
2024,10,7,0,C
2024,10,8,0,C
2024,10,9,0,C
2024,10,10,0,C
2024,10,11,Trace,C
2024,10,12,0,C
2024,10,13,0,C
2024,10,14,0,C
2024,10,15,0,C
2024,10,16,0,C
2024,10,17,0,C
2024,10,18,0,C
2024,10,19,0,C
2024,10,20,Trace,C
2024,10,21,0,C
2024,10,22,0,C
2024,10,23,0,C
2024,10,24,0,C
2024,10,25,0,C
2024,10,26,0.9,C
2024,10,27,Trace,C
2024,10,28,Trace,C
2024,10,29,0,C
2024,10,30,0,C
2024,10,31,0,C
2024,11,1,0,C
2024,11,2,0,C
2024,11,3,Trace,C
2024,11,4,0,C
2024,11,5,2.9,C
2024,11,6,0,C
2024,11,7,Trace,C
2024,11,8,0,C
2024,11,9,0.5,C
2024,11,10,2.8,C
2024,11,11,Trace,C
2024,11,12,0,C
2024,11,13,10.4,C
2024,11,14,16,C
2024,11,15,13.7,C
2024,11,16,0.1,C
2024,11,17,5.3,C
2024,11,18,Trace,C
2024,11,19,29.6,C
2024,11,20,84.1,C
2024,11,21,8.2,C
2024,11,22,0,C
2024,11,23,Trace,C
2024,11,24,1.3,C
2024,11,25,Trace,C
2024,11,26,0.1,C
2024,11,27,0,C
2024,11,28,0,C
2024,11,29,0,C
2024,11,30,0,C
2024,12,1,0,C
2024,12,2,0,C
2024,12,3,0,C
2024,12,4,0,C
2024,12,5,0,C
2024,12,6,0,C
2024,12,7,0,C
2024,12,8,0,C
2024,12,9,0,C
2024,12,10,0,C
2024,12,11,0,C
2024,12,12,0,C
2024,12,13,0,C
2024,12,14,0,C
2024,12,15,Trace,C
2024,12,16,0,C
2024,12,17,0,C
2024,12,18,0,C
2024,12,19,0,C
2024,12,20,0,C
2024,12,21,0,C
2024,12,22,0,C
2024,12,23,0,C
2024,12,24,0,C
2024,12,25,Trace,C
2024,12,26,Trace,C
2024,12,27,Trace,C
2024,12,28,0,C
2024,12,29,0,C
2024,12,30,0,C
2024,12,31,0,C
2025,1,1,Trace,C
2025,1,2,Trace,C
2025,1,3,0,C
2025,1,4,Trace,C
2025,1,5,Trace,C
2025,1,6,0,C
2025,1,7,0,C
2025,1,8,0,C
2025,1,9,0,C
2025,1,10,0,C
2025,1,11,0,C
2025,1,12,0,C
2025,1,13,0,C
2025,1,14,0,C
2025,1,15,0,C
2025,1,16,0,C
2025,1,17,0,C
2025,1,18,0,C
2025,1,19,0,C
2025,1,20,0,C
2025,1,21,Trace,C
2025,1,22,0.2,C
2025,1,23,7.3,C
2025,1,24,0,C
2025,1,25,0,C
2025,1,26,0.5,C
2025,1,27,Trace,C
2025,1,28,0,C
2025,1,29,0,C
2025,1,30,0,C
2025,1,31,Trace,C
2025,2,1,0,C
2025,2,2,0,C
2025,2,3,0.5,C
2025,2,4,0,C
2025,2,5,0,C
2025,2,6,0,C
2025,2,7,0,C
2025,2,8,0,C
2025,2,9,0,C
2025,2,10,0,C
2025,2,11,0,C
2025,2,12,10,C
2025,2,13,0,C
2025,2,14,0.5,C
2025,2,15,0,C
2025,2,16,0,C
2025,2,17,0,C
2025,2,18,0,C
2025,2,19,0,C
2025,2,20,0,C
2025,2,21,0,C
2025,2,22,0,C
2025,2,23,0,C
2025,2,24,0,C
2025,2,25,0,C
2025,2,26,0,C
2025,2,27,0,C
2025,2,28,0,C
2025,3,1,0,C
2025,3,2,0,C
2025,3,3,0,C
2025,3,4,0,C
2025,3,5,0.5,C
2025,3,6,20,C
2025,3,7,5,C
2025,3,8,0,C
2025,3,9,0,C
2025,3,10,0,C
2025,3,11,0,C
2025,3,12,0,C
2025,3,13,0,C
2025,3,14,0,C
2025,3,15,10,C
2025,3,16,0,C
2025,3,17,0,C
2025,3,18,0,C
2025,3,19,0,C
2025,3,20,0,C
2025,3,21,0,C
2025,3,22,0,C
2025,3,23,0,C
2025,3,24,0,C
2025,3,25,0,C
2025,3,26,0,C
2025,3,27,0,C
2025,3,28,2,C
2025,3,29,0.5,C
2025,3,30,2,C
2025,3,31,0.5,C
2025,4,1,0,C
2025,4,2,0,C
2025,4,3,0,C
2025,4,4,0,C
2025,4,5,10,C
2025,4,6,0,C
2025,4,7,0,C
2025,4,8,0,C
2025,4,9,0,C
2025,4,10,0,C
2025,4,11,0,C
2025,4,12,5,C
2025,4,13,0,C
2025,4,14,0,C
2025,4,15,0,C
2025,4,16,0,C
2025,4,17,0,C
2025,4,18,0.1,
2025,4,19,0.1,
2025,4,20,0,
2025,4,21,0,
2025,4,22,0,
